Position	Dspace	ESD(P)	Corr.Fact	Intensity	Rel.Int.	FWHM(L)	ESD(L)	Area
[deg]	[A]	[deg]	[deg]	[CPS]	[CPS]	[deg]	[deg]	[deg]
6.3800	13.8422	0.0000	0.0000	126.67	6.89	0.0800	0.0000	17.7333
9.0200	9.7959	0.0000	0.0000	636.67	34.62	0.1400	0.0000	50.9333
12.3400	7.1668	0.0000	0.0000	280.00	15.22	0.1200	0.0000	33.6000
12.6400	6.9974	0.0000	0.0000	374.17	20.34	0.1000	0.0000	52.3833
18.0000	4.9240	0.0000	0.0000	235.00	12.78	0.1400	0.0000	23.5000
18.9600	4.6768	0.0000	0.0000	156.67	8.52	0.1000	0.0000	21.9333
21.0600	4.2149	0.0000	0.0000	433.33	23.56	0.1400	0.0000	43.3333
22.2000	4.0010	0.0000	0.0000	125.00	6.80	0.1200	0.0000	12.5000
24.7600	3.5928	0.0000	0.0000	249.17	13.55	0.1000	0.0000	39.8667
25.3200	3.5146	0.0000	0.0000	312.50	16.99	0.1600	0.0000	37.5000
25.5600	3.4822	0.0000	0.0000	96.67	5.26	0.0600	0.0000	9.6667
26.8200	3.3214	0.0000	0.0000	1839.17	100.00	0.1400	0.0000	183.9167
27.0600	3.2924	0.0000	0.0000	795.83	43.27	0.1200	0.0000	111.4167
27.5800	3.2315	0.0000	0.0000	108.33	5.89	0.0200	0.0000	17.3333
27.7000	3.2178	0.0000	0.0000	175.00	9.52	0.0600	0.0000	24.5000
28.0400	3.1796	0.0000	0.0000	495.00	26.91	0.1000	0.0000	59.4000
28.8000	3.0974	0.0000	0.0000	95.00	5.17	0.1600	0.0000	5.7000
30.6200	2.9173	0.0000	0.0000	87.50	4.76	0.0200	0.0000	8.7500
30.9800	2.8842	0.0000	0.0000	154.17	8.38	0.0400	0.0000	6.1667
35.6400	2.5170	0.0000	0.0000	110.00	5.98	0.0400	0.0000	15.4000
36.7200	2.4454	0.0000	0.0000	218.33	11.87	0.1200	0.0000	17.4667
38.2600	2.3505	0.0000	0.0000	955.83	51.97	0.0800	0.0000	114.7000
39.0000	2.3076	0.0000	0.0000	87.50	4.76	0.0800	0.0000	3.5000
39.6400	2.2718	0.0000	0.0000	99.17	5.39	0.0600	0.0000	1.9833
40.4600	2.2276	0.0000	0.0000	218.33	11.87	0.1400	0.0000	13.1000
42.8200	2.1101	0.0000	0.0000	129.17	7.02	0.1400	0.0000	7.7500
44.4800	2.0352	0.0000	0.0000	412.50	22.43	0.1000	0.0000	66.0000
45.7600	1.9812	0.0000	0.0000	249.17	13.55	0.1000	0.0000	39.8667
45.9600	1.9730	0.0000	0.0000	234.17	12.73	0.1600	0.0000	18.7333
48.7400	1.8668	0.0000	0.0000	95.00	5.17	0.1600	0.0000	1.9000
